DOEID,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,AGEHHMEM1,AGEHHMEM2,AGEHHMEM3,AGEHHMEM4,AGEHHMEM5,AGEHHMEM6,AGEHHMEM7,AGEHHMEM8,AGEHHMEM9,AGEHHMEM10,AGEHHMEM11,AGEHHMEM12,AGEHHMEMY,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY
3686,0,0,0,2,25,2,1,1,4,25,23,4,99,99,99,99,99,99,99,99,99,1,1,0,0,0,12
3687,0,0,0,1,35,2,0,0,2,35,99,99,99,99,99,99,99,99,99,99,99,18,1,0,0,0,10
3688,0,0,0,2,76,1,0,1,1,76,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,4
3689,0,0,1,1,41,1,1,0,6,41,47,10,7,6,99,99,99,99,99,99,99,3,1,0,0,0,24
3690,0,0,0,1,64,1,0,0,1,64,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,4
3691,0,0,1,1,36,1,1,0,4,36,46,16,99,99,99,99,99,99,99,99,99,15,1,0,1,1,3
3692,0,0,1,2,39,2,1,1,8,39,37,34,30,25,23,21,99,99,99,99,99,20,1,0,0,0,18
3693,0,0,0,2,27,2,1,0,2,27,99,99,99,99,99,99,99,99,99,99,99,27,1,0,0,0,20
3694,0,0,0,1,37,2,1,0,4,37,32,3,99,99,99,99,99,99,99,99,99,1,1,0,0,0,14
3695,0,0,1,2,83,1,1,0,2,83,99,99,99,99,99,99,99,99,99,99,99,83,0,1,0,0,9
3696,0,0,1,2,50,2,0,1,4,50,27,24,99,99,99,99,99,99,99,99,99,19,1,0,0,0,10
3697,0,0,0,2,46,2,0,0,1,46,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,8
3698,0,0,1,2,26,2,1,0,4,26,24,2,99,99,99,99,99,99,99,99,99,1,1,0,0,1,8
3699,1,0,1,1,29,1,1,0,5,29,36,8,2,99,99,99,99,99,99,99,99,1,1,0,0,0,8
3700,0,0,1,2,75,1,1,0,2,75,99,99,99,99,99,99,99,99,99,99,99,73,0,1,0,0,5
3701,0,0,1,1,67,0,0,0,1,67,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,2
3702,0,0,1,1,69,1,0,0,1,69,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,9
3703,0,1,1,2,59,2,1,0,2,59,99,99,99,99,99,99,99,99,99,99,99,59,1,1,0,0,10
3704,0,0,1,1,73,1,0,0,1,73,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,6
3705,0,0,1,1,95,1,0,0,1,95,99,99,99,99,99,99,99,99,99,99,99,99,0,1,1,1,3
